"itemId","名称","成功率","效果","状态","备注"
"2040340","耳环装饰体力卷轴15%","15%","最大HP+30","本次新增",""
"2040401","上衣防御卷轴","60%","物理防御+2，魔法防御+1","本次新增",""
"2040402","上衣防御卷轴","10%","物理防御+5，魔法防御+3，最大HP+10","原商店已有",""
"2040404","上衣防御诅咒卷轴","70%","物理防御+2，魔法防御+1，失败破坏率 50%","本次新增",""
"2040405","上衣防御诅咒卷轴","30%","物理防御+5，魔法防御+3，最大HP+10，失败破坏率 50%","本次新增",""
"2040406","上衣力量卷轴","70%","失败破坏率 50%，力量+2","本次新增",""
"2040407","上衣力量卷轴","30%","失败破坏率 50%，力量+3","本次新增",""
"2040408","上衣体力卷轴","70%","失败破坏率 50%，最大HP+15","本次新增",""
"2040409","上衣体力卷轴","30%","最大HP+30，失败破坏率 50%","本次新增",""
"2040410","上衣运气诅咒卷轴70%","70%","失败破坏率 50%，运气+2，回避+1","本次新增",""
"2040411","上衣运气诅咒卷轴30%","30%","失败破坏率 50%，运气+3，回避+3","本次新增",""
"2040412","上衣运气卷轴10%","10%","运气+3，回避+3","原商店已有",""
"2040413","上衣运气卷轴60%","60%","运气+2，回避+1","本次新增",""
"2040415","上衣防御力卷轴","65%","物理防御+2，魔法防御+1","本次新增",""
"2040416","上衣防御力卷轴","15%","物理防御+5，魔法防御+3，最大HP+10","本次新增",""
"2040418","上衣力量卷轴","60%","力量+2","本次新增",""
"2040419","上衣力量卷轴","10%","力量+3","原商店已有",""
"2040421","上衣体力卷轴","60%","最大HP+15","本次新增",""
"2040422","上衣体力卷轴","10%","最大HP+30","原商店已有",""
"2040424","上衣运气卷轴","70%","运气+2，失败破坏率 50%","本次新增",""
"2040425","上衣运气卷轴","60%","运气+2","本次新增",""
"2040426","上衣运气卷轴","30%","运气+3，失败破坏率 50%","本次新增",""
"2040427","上衣运气卷轴","10%","运气+3","原商店已有",""
"2040429","上衣防御卷轴50%","50%","物理防御+5，魔法防御+4","本次新增",""
"2040431","上衣力量卷轴65%","65%","力量+2","本次新增",""
"2040432","上衣力量卷轴15%","15%","力量+3","本次新增",""
"2040433","上衣体力卷轴65%","65%","最大HP+15","本次新增",""
"2040434","上衣体力卷轴15%","15%","最大HP+30","本次新增",""
"2040435","上衣运气卷轴65%","65%","运气+2","本次新增",""
"2040436","上衣运气卷轴15%","15%","运气+3","本次新增",""
"2040501","全身铠甲敏捷卷轴","60%","敏捷+2，命中+1","本次新增",""
"2040502","全身铠甲敏捷卷轴","10%","敏捷+5，命中+3，移动速度+1","原商店已有",""
"2040504","全身铠甲防御卷轴","60%","物理防御+2，魔法防御+1","本次新增",""
"2040505","全身铠甲防御卷轴","10%","物理防御+5，魔法防御+3，最大HP+10","原商店已有",""
"2040508","全身铠甲敏捷诅咒卷轴","70%","敏捷+2，命中+1，失败破坏率 50%","本次新增",""
"2040509","全身铠甲敏捷诅咒卷轴","30%","敏捷+5，命中+3，移动速度+1，失败破坏率 50%","本次新增",""
"2040510","全身铠甲防御诅咒卷轴","70%","物理防御+2，魔法防御+2，失败破坏率 50%","本次新增",""
"2040511","全身铠甲防御诅咒卷轴","30%","物理防御+5，魔法防御+3，最大HP+10，失败破坏率 50%","本次新增",""
"2040513","全身铠甲智力卷轴","60%","智力+2，魔法防御+1","本次新增",""
"2040514","全身铠甲智力卷轴","10%","智力+5，魔法防御+3，最大MP+10","原商店已有",""
"2040516","全身铠甲运气卷轴","60%","运气+2，回避+1","本次新增",""
"2040517","全身铠甲运气卷轴","10%","运气+5，回避+3，命中+1","原商店已有",""
"2040518","全身盔甲智力卷轴","70%","智力+2，魔法防御+1，失败破坏率 50%","本次新增",""
"2040519","全身盔甲智力卷轴","30%","智力+5，魔法防御+3，最大MP+10，失败破坏率 50%","本次新增",""
"2040520","全身盔甲幸运卷轴","70%","运气+2，回避+1，失败破坏率 50%","本次新增",""
"2040521","全身盔甲幸运卷轴","30%","运气+5，回避+3，命中+1，失败破坏率 50%","本次新增",""
"2040522","全身盔甲敏捷卷轴","65%","敏捷+2，命中+1","本次新增",""
"2040523","全身盔甲敏捷卷轴","15%","敏捷+5，命中+3，移动速度+1","本次新增",""
"2040524","全身盔甲防御卷轴","65%","物理防御+2，魔法防御+1","本次新增",""
"2040525","全身盔甲防御卷轴","15%","物理防御+5，魔法防御+3，最大HP+10","本次新增",""
"2040526","全身盔甲智力卷轴","65%","智力+2，魔法防御+1","本次新增",""
"2040527","全身盔甲智力卷轴","15%","智力+5，魔法防御+3，最大MP+10","本次新增",""
"2040528","全身盔甲幸运卷轴","65%","运气+2，回避+1","本次新增",""
"2040529","全身盔甲幸运卷轴","15%","运气+5，回避+3，命中+1","本次新增",""
"2040531","全身盔甲力量卷轴","70%","力量+2，物理防御+1，失败破坏率 50%","本次新增",""
"2040532","全身盔甲力量卷轴","60%","力量+2，物理防御+1","本次新增",""
"2040533","全身盔甲力量卷轴","30%","力量+5，物理防御+3，最大HP+5，失败破坏率 50%","本次新增",""
"2040534","全身盔甲力量卷轴 ","10%","力量+5，物理防御+3，最大HP+5","原商店已有",""
"2040540","全身盔甲力量卷轴65%","65%","力量+2，物理防御+1","本次新增",""
"2040541","全身盔甲力量卷轴15%","15%","力量+5，物理防御+3，最大HP+5","本次新增",""
"2040542","全身铠甲敏捷卷轴50%","50%","敏捷+5，移动速度+1，回避+1","本次新增",""
"2040543","全身铠甲防御卷轴50%","50%","物理防御+5，魔法防御+4","本次新增",""
"2040601","裤/裙防御卷轴","60%","物理防御+2，魔法防御+1","本次新增",""
"2040602","裤/裙防御卷轴","10%","物理防御+5，魔法防御+3，最大HP+10","原商店已有",""
"2040604","裤/裙防御诅咒卷轴","70%","物理防御+2，魔法防御+1，失败破坏率 50%","本次新增",""
"2040605","裤/裙防御诅咒卷轴","30%","物理防御+5，魔法防御+3，最大HP+10，失败破坏率 50%","本次新增",""
"2040606","裤裙跳跃诅咒卷轴","70%","失败破坏率 50%，跳跃+2，回避+1","本次新增",""
"2040607","裤裙跳跃诅咒卷轴","30%","失败破坏率 50%，跳跃+4，回避+2","本次新增",""
"2040608","裤裙体力诅咒卷轴","70%","失败破坏率 50%，最大HP+15","本次新增",""
"2040609","裤裙体力诅咒卷轴","30%","最大HP+30，失败破坏率 50%","本次新增",""
"2040610","裤裙敏捷诅咒卷轴70%","70%","失败破坏率 50%，敏捷+2，移动速度+1","本次新增",""
"2040611","裤裙敏捷诅咒卷轴30%","30%","失败破坏率 50%，敏捷+3，移动速度+3","本次新增",""
"2040612","裤裙敏捷卷轴10%","10%","敏捷+3，移动速度+3","原商店已有",""
"2040613","裤裙敏捷卷轴60%","60%","敏捷+2，移动速度+1","本次新增",""
"2040615","裤裙防御卷轴","65%","物理防御+2，魔法防御+1","本次新增",""
"2040616","裤裙防御卷轴","15%","物理防御+5，魔法防御+3，最大HP+10","本次新增",""
"2040618","裤裙跳跃卷轴","60%","跳跃+2，回避+1","本次新增",""
"2040619","裤裙跳跃卷轴","10%","跳跃+4，回避+2","原商店已有",""
"2040621","裤裙体力卷轴","60%","最大HP+15","本次新增",""
"2040622","裤裙体力卷轴","10%","最大HP+30","原商店已有",""
"2040624","裤裙敏捷卷轴","70%","敏捷+2，命中+1，失败破坏率 50%","本次新增",""
"2040625","裤裙敏捷卷轴","60%","敏捷+2，命中+1","本次新增",""
"2040626","裤裙敏捷卷轴","30%","敏捷+3，命中+2，移动速度+1，失败破坏率 50%","本次新增",""
"2040627","裤裙敏捷卷轴","10%","敏捷+3，命中+2，移动速度+1","原商店已有",""
"2040629","裤裙防御卷轴50%","50%","物理防御+5，魔法防御+4","本次新增",""
"2040631","裤裙跳跃卷轴65%","65%","跳跃+2，回避+1","本次新增",""
"2040632","裤裙跳跃卷轴15%","15%","跳跃+4，回避+2","本次新增",""
"2040633","裤裙体力卷轴65%","65%","最大HP+15","本次新增",""
"2040634","裤裙体力卷轴15%","15%","最大HP+30","本次新增",""
"2040635","裤裙敏捷卷轴65%","65%","敏捷+2，命中+1","本次新增",""
"2040636","裤裙敏捷卷轴15%","15%","敏捷+3，命中+2，移动速度+1","本次新增",""
"2040701","鞋子敏捷度卷轴","60%","回避+2，命中+1","本次新增",""
"2040702","鞋子敏捷度卷轴","10%","回避+5，命中+3，移动速度+1","原商店已有",""
"2040704","鞋子跳跃卷轴","60%","跳跃+2，敏捷+1","本次新增",""
"2040705","鞋子跳跃卷轴","10%","跳跃+5，敏捷+3，移动速度+1","原商店已有",""
"2040707","鞋子速度卷轴","60%","移动速度+2","本次新增",""
"2040708","鞋子速度卷轴","10%","移动速度+3","原商店已有",""
"2040712","鞋子敏捷诅咒卷轴","70%","回避+2，命中+1，失败破坏率 50%","本次新增",""
"2040713","鞋子敏捷诅咒卷轴","30%","回避+5，命中+3，移动速度+1，失败破坏率 50%","本次新增",""
"2040714","鞋子跳跃诅咒卷轴","70%","跳跃+2，敏捷+1，失败破坏率 50%","本次新增",""
"2040715","鞋子跳跃诅咒卷轴","30%","跳跃+5，敏捷+3，移动速度+1，失败破坏率 50%","本次新增",""
"2040716","鞋子速度诅咒卷轴","70%","移动速度+2，失败破坏率 50%","本次新增",""
"2040717","鞋子速度诅咒卷轴","30%","移动速度+3，失败破坏率 50%","本次新增",""
"2040718","鞋子敏捷卷轴","65%","回避+2，命中+1","本次新增",""
"2040719","鞋子敏捷卷轴","15%","回避+5，命中+3，移动速度+1","本次新增",""
"2040720","鞋子跳跃卷轴","65%","跳跃+2，敏捷+1","本次新增",""
"2040721","鞋子跳跃卷轴","15%","跳跃+5，敏捷+3，移动速度+1","本次新增",""
"2040722","鞋子速度卷轴","65%","移动速度+2","本次新增",""
"2040723","鞋子速度卷轴","15%","移动速度+3","本次新增",""
"2040727","鞋子防滑卷轴","10%","防滑","本次新增",""
"2040728","蝙蝠怪的鞋子力量卷轴30%","30%","力量+2","本次新增",""
"2040729","蝙蝠怪的鞋子智力卷轴30%","30%","智力+2","本次新增",""
"2040730","蝙蝠怪的鞋子幸运卷轴30%","30%","运气+2","本次新增",""
"2040731","蝙蝠怪的鞋子敏捷卷轴30%","30%","敏捷+2","本次新增",""
"2040732","蝙蝠怪的鞋子生命卷轴30%","30%","最大HP+30","本次新增",""
"2040733","蝙蝠怪的鞋子魔力卷轴30%","30%","最大MP+30","本次新增",""
"2040734","蝙蝠怪的鞋子移动速度卷轴30%","30%","移动速度+3","本次新增",""
"2040735","蝙蝠怪的鞋子跳跃卷轴30%","30%","跳跃+5","本次新增",""
"2040736","蝙蝠怪的鞋子命中卷轴30%","30%","命中+5","本次新增",""
"2040737","蝙蝠怪的鞋子回避卷轴30%","30%","回避+5","本次新增",""
"2040738","蝙蝠怪的鞋子防御卷轴30%","30%","物理防御+10，魔法防御+10","本次新增",""
"2040739","蝙蝠怪的鞋子强化卷轴5%","5%","物理防御+14，魔法防御+14，力量+4，智力+4，敏捷+4，运气+4，命中+4，回避+4，移动速度+4，跳跃+4，最大HP+40，最大MP+40","本次新增",""
"2040755","鞋子敏捷卷轴50%","50%","回避+3，命中+3，移动速度+2","本次新增",""
"2040756","鞋子跳跃卷轴50%","50%","跳跃+6，移动速度+1","本次新增",""
"2040757","鞋子移动卷轴50%","50%","移动速度+3，跳跃+1","本次新增",""
"2040759","鞋子攻击卷轴","60%","物理攻击+2","本次新增",""
"2040760","鞋子攻击卷轴","10%","物理攻击+3","本次新增",""
"2040801","手套敏捷卷轴","60%","命中+2，敏捷+1","本次新增",""
"2040802","手套敏捷卷轴","10%","命中+5，敏捷+3，回避+1","原商店已有",""
"2040804","手套攻击卷轴","60%","物理攻击+2","本次新增",""
"2040805","手套攻击卷轴","10%","物理攻击+3","原商店已有",""
"2040808","手套敏捷诅咒卷轴","70%","命中+2，敏捷+1，失败破坏率 50%","本次新增",""
"2040809","手套敏捷诅咒卷轴","30%","命中+5，敏捷+3，回避+1，失败破坏率 50%","本次新增",""
"2040810","手套攻击诅咒卷轴","70%","物理攻击+2，失败破坏率 50%","本次新增",""
"2040811","手套攻击诅咒卷轴","30%","物理攻击+3，失败破坏率 50%","本次新增",""
"2040812","手套体力卷轴","70%","失败破坏率 50%，最大HP+15","本次新增",""
"2040813","手套体力卷轴","30%","失败破坏率 50%，最大HP+30","本次新增",""
"2040814","手套魔力诅咒卷轴70%","70%","失败破坏率 50%，魔法攻击+1，智力+1","本次新增",""
"2040815","手套魔力诅咒卷轴30%","30%","失败破坏率 50%，魔法攻击+3，智力+3，魔法防御+1","本次新增",""
"2040816","手套魔力卷轴10%","10%","智力+3，魔法攻击+3，魔法防御+1","原商店已有",""
"2040817","手套魔力卷轴60%","60%","魔法攻击+1，智力+1","本次新增",""
"2040819","手套敏捷卷轴","65%","命中+2，敏捷+1","本次新增",""
"2040820","手套敏捷卷轴","15%","命中+5，敏捷+3，回避+1","本次新增",""
"2040821","手套攻击卷轴","65%","物理攻击+2","本次新增",""
"2040822","手套攻击卷轴","15%","物理攻击+3","本次新增",""
"2040824","手套体力卷轴","60%","最大HP+15","本次新增",""
"2040825","手套体力卷轴","10%","最大HP+30","原商店已有",""
"2040826","手套攻击卷轴","60%","物理攻击+2","本次新增",""
"2040831","手套体力卷轴65%","65%","最大HP+15","本次新增",""
"2040832","手套体力卷轴15%","15%","最大HP+30","本次新增",""
"2040833","手套敏捷卷轴50%","50%","命中+3，敏捷+3，回避+3","本次新增",""
"2040834","手套攻击卷轴50%","50%","物理攻击+3","本次新增",""
"2040901","盾牌防御卷轴","60%","物理防御+2，魔法防御+1","本次新增",""
"2040902","盾牌防御卷轴","10%","物理防御+5，魔法防御+3，最大HP+10","原商店已有",""
"2040904","盾牌防御诅咒卷轴","70%","物理防御+2，魔法防御+1，失败破坏率 50%","本次新增",""
"2040905","盾牌防御诅咒卷轴","30%","物理防御+5，魔法防御+3，最大HP+10，失败破坏率 50%","本次新增",""
"2040906","盾牌运气卷轴","70%","失败破坏率 50%，运气+2","本次新增",""
"2040907","盾牌运气卷轴","30%","失败破坏率 50%，运气+3","本次新增",""
"2040908","盾牌体力卷轴","70%","失败破坏率 50%，最大HP+15","本次新增",""
"2040909","盾牌体力卷轴","30%","最大HP+30，失败破坏率 50%","本次新增",""
"2040910","盾牌防御卷轴","65%","物理防御+2，魔法防御+1","本次新增",""
"2040911","盾牌防御卷轴","15%","物理防御+5，魔法防御+3，最大HP+10","本次新增",""
"2040912","【4周年】盾牌防御卷轴","40%","物理防御+3，魔法防御+2，失败破坏率 30%","本次新增",""
"2040914","盾牌攻击卷轴60%","60%","物理攻击+2，力量+1","本次新增",""
"2040915","盾牌攻击卷轴10%","10%","物理攻击+3，力量+2","原商店已有",""
"2040916","盾牌攻击诅咒卷轴70%","70%","失败破坏率 50%，物理攻击+2，力量+1","本次新增",""
"2040917","盾牌攻击诅咒卷轴30%","30%","失败破坏率 50%，物理攻击+3，力量+2","本次新增",""
"2040919","盾牌魔力卷轴60%","60%","魔法攻击+2，智力+1","本次新增",""
"2040920","盾牌魔力卷轴10%","10%","魔法攻击+3，智力+2","原商店已有",""
"2040921","盾牌魔力诅咒卷轴70%","70%","失败破坏率 50%，魔法攻击+2，智力+1","本次新增",""
"2040922","盾牌魔力诅咒卷轴50%","30%","失败破坏率 50%，魔法攻击+3，智力+2","本次新增",""
"2040924","盾牌运气卷轴","60%","运气+2","本次新增",""
"2040925","盾牌运气卷轴","10%","运气+3","原商店已有",""
"2040927","盾牌体力卷轴","60%","最大HP+15","本次新增",""
"2040928","盾牌体力卷轴","10%","最大HP+30","原商店已有",""
"2040930","盾牌力量卷轴","70%","力量+2，失败破坏率 50%","本次新增",""
"2040931","盾牌力量卷轴","60%","力量+2","本次新增",""
"2040932","盾牌力量卷轴","30%","力量+3，失败破坏率 50%","本次新增",""
"2040933","盾牌力量卷轴","10%","力量+3","本次新增",""
"2040937","盾牌运气卷轴65%","65%","运气+2","本次新增",""
"2040938","盾牌运气卷轴15%","15%","运气+3","本次新增",""
"2040939","盾牌体力卷轴65%","65%","最大HP+15","本次新增",""
"2040940","盾牌体力卷轴15%","15%","最大HP+30","本次新增",""
"2040941","盾牌力量卷轴65%","65%","力量+2","本次新增",""
"2040942","盾牌力量卷轴15%","15%","力量+3","本次新增",""
"2040943","盾牌防御卷轴50%","50%","物理防御+5，魔法防御+4","本次新增",""
"2041001","披风魔防卷轴","60%","魔法防御+3，物理防御+1","本次新增",""
"2041002","披风魔防卷轴","10%","魔法防御+5，物理防御+3，最大MP+10","原商店已有",""
"2041004","披风防御卷轴","60%","物理防御+3，魔法防御+1","本次新增",""
"2041005","披风防御卷轴","10%","物理防御+5，魔法防御+3，最大HP+10","原商店已有",""
"2041007","披风体力卷轴","60%","最大HP+10","本次新增",""
"2041008","披风体力卷轴","10%","最大HP+20","原商店已有",""
"2041010","披风魔力卷轴","60%","最大MP+10","本次新增",""
"2041011","披风魔力卷轴","10%","最大MP+20","原商店已有",""
"2041013","披风力量卷轴","60%","力量+2","本次新增",""
"2041014","披风力量卷轴","10%","力量+3","原商店已有",""
"2041016","披风智力卷轴","60%","智力+2","本次新增",""
"2041017","披风智力卷轴","10%","智力+3","原商店已有",""
"2041019","披风敏捷卷轴","60%","敏捷+2","本次新增",""
"2041020","披风敏捷卷轴","10%","敏捷+3","原商店已有",""
"2041022","披风运气卷轴","60%","运气+2","本次新增",""
"2041023","披风运气卷轴","10%","运气+3","原商店已有",""
"2041026","披风魔防诅咒卷轴","70%","魔法防御+2，物理防御+1，失败破坏率 50%","本次新增",""
"2041027","披风魔防诅咒卷轴","30%","魔法防御+5，物理防御+3，最大MP+10，失败破坏率 50%","本次新增",""
"2041028","披风防御诅咒卷轴","70%","物理防御+3，魔法防御+1，失败破坏率 50%","本次新增",""
"2041029","披风防御诅咒卷轴","30%","物理防御+5，魔法防御+3，最大HP+10，失败破坏率 50%","本次新增",""
"2041030","披风体力诅咒卷轴","70%","最大HP+10，失败破坏率 50%","本次新增",""
"2041031","披风体力诅咒卷轴","30%","最大HP+20，失败破坏率 50%","本次新增",""
"2041032","披风魔力诅咒卷轴","70%","最大MP+10，失败破坏率 50%","本次新增",""
"2041033","披风魔力诅咒卷轴","30%","最大MP+20，失败破坏率 50%","本次新增",""
"2041034","披风力量诅咒卷轴","70%","力量+2，失败破坏率 50%","本次新增",""
"2041035","披风力量诅咒卷轴","30%","力量+3，失败破坏率 50%","本次新增",""
"2041036","披风智力诅咒卷轴","70%","智力+2，失败破坏率 50%","本次新增",""
"2041037","披风智力诅咒卷轴","30%","智力+3，失败破坏率 50%","本次新增",""
"2041038","披风敏捷诅咒卷轴","70%","敏捷+2，失败破坏率 50%","本次新增",""
"2041039","披风敏捷诅咒卷轴","30%","敏捷+3，失败破坏率 50%","本次新增",""
"2041040","披风运气诅咒卷轴","70%","运气+2，失败破坏率 50%","本次新增",""
"2041041","披风运气诅咒卷轴","30%","运气+3，失败破坏率 50%","本次新增",""
"2041042","披风魔法防御卷轴","65%","魔法防御+3，物理防御+1","本次新增",""
"2041043","披风魔法防御卷轴","15%","魔法防御+5，物理防御+3，最大MP+10","本次新增",""
"2041044","披风物理防御卷轴","65%","物理防御+3，魔法防御+1","本次新增",""
"2041045","披风物理防御卷轴","15%","物理防御+5，魔法防御+3，最大HP+10","本次新增",""
"2041046","披风体力卷轴","65%","最大HP+10","本次新增",""
"2041047","披风体力卷轴","15%","最大HP+20","本次新增",""
"2041048","披风魔力卷轴","65%","最大MP+10","本次新增",""
"2041049","披风魔力卷轴","15%","最大MP+20","本次新增",""
"2041050","披风力卷轴","65%","力量+2","本次新增",""
"2041051","披风力卷轴","15%","力量+3","本次新增",""
"2041052","披风智力卷轴","65%","智力+2","本次新增",""
"2041053","披风智力卷轴","15%","智力+3","本次新增",""
"2041054","披风敏捷卷轴","65%","敏捷+2","本次新增",""
"2041055","披风敏捷卷轴","15%","敏捷+3","本次新增",""
"2041056","披风幸运卷轴","65%","运气+2","本次新增",""
"2041057","披风幸运卷轴","15%","运气+3","本次新增",""
"2041058","披风防寒卷轴","10%","防寒","本次新增",""
"2041059","[4周年]披风力量卷轴20%","20%","力量+3，失败破坏率 30%","本次新增",""
"2041060","[4周年]披风智力卷轴20%","20%","智力+3，失败破坏率 30%","本次新增",""
